Datum;anrufquelle;kreis;anz_anrufe;anrufe_m_sabio;Thema_test;Thema_reise;Thema_impf;Thema_quarantaene;Thema_bundesland;Thema_app;Thema_inzidenz
05/12/2022;FN_kgs-01002;Kiel, Landeshauptstadt;2;1;0;0;0;1;0;0;0
05/12/2022;FN_kgs-01051;Dithmarschen;3;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-01054;Nordfriesland;1;1;0;0;1;0;0;0;0
05/12/2022;FN_kgs-01055;Ostholstein;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-01059;Schleswig-Flensburg;1;1;1;0;1;0;1;0;0
05/12/2022;FN_kgs-01060;Segeberg;6;3;1;0;0;2;0;0;0
05/12/2022;FN_kgs-01061;Steinburg;3;2;1;0;2;2;1;0;0
05/12/2022;FN_kgs-01062;Stormarn;3;1;1;0;1;1;0;1;0
05/12/2022;FN_kgs-02000;Hamburg, Freie und Hansestadt;50;25;6;0;8;15;10;1;0
05/12/2022;FN_kgs-03101;Braunschweig, Stadt;3;1;1;0;0;1;0;0;0
05/12/2022;FN_kgs-03151;Gifhorn;2;1;1;0;0;1;0;1;0
05/12/2022;FN_kgs-03153;Goslar;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-03157;Peine;3;2;0;0;1;2;1;0;0
05/12/2022;FN_kgs-03158;Wolfenbüttel;3;3;0;0;1;2;0;0;0
05/12/2022;FN_kgs-03241;Region Hannover;7;3;0;0;0;2;0;0;0
05/12/2022;FN_kgs-03254;Hildesheim;1;1;0;0;0;1;0;0;0
05/12/2022;FN_kgs-03256;Nienburg (Weser);1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-03257;Schaumburg;1;1;1;0;1;0;1;0;0
05/12/2022;FN_kgs-03351;Celle;3;2;2;0;2;2;2;0;0
05/12/2022;FN_kgs-03352;Cuxhaven;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-03353;Harburg;8;1;1;0;1;1;1;0;0
05/12/2022;FN_kgs-03355;Lüneburg;2;1;1;0;0;1;0;0;0
05/12/2022;FN_kgs-03357;Rotenburg (Wümme);1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-03358;Soltau-Fallingbostel;1;1;1;0;0;1;0;0;0
05/12/2022;FN_kgs-03359;Stade;4;3;1;0;1;1;1;0;0
05/12/2022;FN_kgs-03360;Uelzen;5;2;0;0;1;1;0;0;0
05/12/2022;FN_kgs-03361;Verden;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-03456;Grafschaft Bentheim;2;1;0;0;0;0;0;0;0
05/12/2022;FN_kgs-03457;Leer;3;2;0;0;0;0;0;0;0
05/12/2022;FN_kgs-03459;Osnabrück;2;1;0;0;0;1;0;0;0
05/12/2022;FN_kgs-04011;Bremen, Stadt;8;3;1;0;1;1;0;0;0
05/12/2022;FN_kgs-05117;Mülheim an der Ruhr, Stadt;3;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-05154;Kleve;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-05158;Mettmann;6;5;1;0;4;4;3;0;0
05/12/2022;FN_kgs-05162;Rhein-Kreis Neuss;3;1;0;0;1;1;1;0;0
05/12/2022;FN_kgs-05166;Viersen;5;2;2;0;1;0;0;0;0
05/12/2022;FN_kgs-05170;Wesel;1;1;0;0;1;0;1;0;0
05/12/2022;FN_kgs-05313;Aachen, Stadt;1;1;0;0;0;0;0;0;0
05/12/2022;FN_kgs-05354;Aachen;3;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-05362;Rhein-Erft-Kreis;2;2;0;0;0;2;0;0;0
05/12/2022;FN_kgs-05366;Euskirchen;2;1;1;0;1;1;1;0;0
05/12/2022;FN_kgs-05370;Heinsberg;1;1;1;0;1;0;0;0;0
05/12/2022;FN_kgs-05378;Rheinisch-Bergischer Kreis;4;2;0;0;1;2;0;0;0
05/12/2022;FN_kgs-05382;Rhein-Sieg-Kreis;3;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-05515;Münster, Stadt;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-05562;Recklinghausen;2;1;0;0;0;0;1;0;0
05/12/2022;FN_kgs-05570;Warendorf;2;1;1;0;0;0;0;0;0
05/12/2022;FN_kgs-05711;Bielefeld, Stadt;2;1;0;0;0;1;0;0;0
05/12/2022;FN_kgs-05758;Herford;1;1;1;0;1;0;0;0;0
05/12/2022;FN_kgs-05766;Lippe;1;1;0;0;0;0;0;0;0
05/12/2022;FN_kgs-05770;Minden-Lübbecke;3;2;1;0;1;1;1;0;0
05/12/2022;FN_kgs-05774;Paderborn;2;1;1;0;1;1;1;0;0
05/12/2022;FN_kgs-05916;Herne, Stadt;3;1;0;0;1;0;1;0;0
05/12/2022;FN_kgs-05962;Märkischer Kreis;2;1;1;0;1;0;1;0;0
05/12/2022;FN_kgs-05978;Unna;5;1;0;0;1;0;0;0;0
05/12/2022;FN_kgs-06412;Frankfurt am Main, Stadt;3;1;1;0;1;0;1;0;0
05/12/2022;FN_kgs-06434;Hochtaunuskreis;2;2;0;0;1;2;1;0;0
05/12/2022;FN_kgs-06436;Main-Taunus-Kreis;3;1;0;0;1;0;0;0;0
05/12/2022;FN_kgs-06438;Offenbach;2;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-06439;Rheingau-Taunus-Kreis;1;1;0;0;0;0;0;0;0
05/12/2022;FN_kgs-06440;Wetteraukreis;2;1;1;0;0;0;0;0;0
05/12/2022;FN_kgs-06532;Lahn-Dill-Kreis;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-06533;Limburg-Weilburg;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-06534;Marburg-Biedenkopf;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-06535;Vogelsbergkreis;2;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-06631;Fulda;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-06633;Kassel;5;4;1;0;2;1;1;1;0
05/12/2022;FN_kgs-06634;Schwalm-Eder-Kreis;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-06635;Waldeck-Frankenberg;1;1;1;0;0;0;0;0;0
05/12/2022;FN_kgs-06636;Werra-Meißner-Kreis;2;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-07132;Altenkirchen (Westerwald);1;1;0;0;0;0;1;0;0
05/12/2022;FN_kgs-07137;Mayen-Koblenz;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-07138;Neuwied;3;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-07141;Rhein-Lahn-Kreis;3;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-07143;Westerwaldkreis;2;1;0;0;0;0;1;0;0
05/12/2022;FN_kgs-07235;Trier-Saarburg;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-07315;Mainz, kreisfreie Stadt;5;3;1;0;3;0;2;0;0
05/12/2022;FN_kgs-07335;Kaiserslautern;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-07338;Rhein-Pfalz-Kreis;2;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-07339;Mainz-Bingen;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-08116;Esslingen;6;2;0;0;2;1;1;0;0
05/12/2022;FN_kgs-08117;Göppingen;2;1;0;0;0;0;0;0;0
05/12/2022;FN_kgs-08118;Ludwigsburg;2;1;1;0;0;1;0;0;0
05/12/2022;FN_kgs-08125;Heilbronn;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-08136;Ostalbkreis;4;1;1;0;1;1;1;0;0
05/12/2022;FN_kgs-08215;Karlsruhe;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-08216;Rastatt;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-08222;Mannheim;2;2;2;0;0;2;0;1;0
05/12/2022;FN_kgs-08225;Neckar-Odenwald-Kreis;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-08226;Rhein-Neckar-Kreis;6;4;1;0;4;1;2;0;0
05/12/2022;FN_kgs-08236;Enzkreis;3;1;1;0;1;1;1;0;0
05/12/2022;FN_kgs-08315;Breisgau-Hochschwarzwald;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-08316;Emmendingen;1;1;0;0;1;1;1;0;0
05/12/2022;FN_kgs-08317;Ortenaukreis;5;2;0;0;1;1;1;1;0
05/12/2022;FN_kgs-08325;Rottweil;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-08335;Konstanz;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-08336;Lörrach;2;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-08416;Tübingen;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-08417;Zollernalbkreis;2;1;0;0;1;0;1;0;0
05/12/2022;FN_kgs-08436;Ravensburg;1;1;0;0;1;0;0;0;0
05/12/2022;FN_kgs-09176;Eichstätt;1;1;0;0;1;0;1;0;0
05/12/2022;FN_kgs-09177;Erding;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-09179;Fürstenfeldbruck;1;1;0;0;1;0;0;0;0
05/12/2022;FN_kgs-09186;Pfaffenhofen a.d.Ilm;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-09188;Starnberg;8;3;1;0;0;3;0;0;0
05/12/2022;FN_kgs-09477;Kulmbach;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-09564;Nürnberg, Stadt;4;3;2;0;2;2;1;1;0
05/12/2022;FN_kgs-09675;Kitzingen;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-09676;Miltenberg;1;1;0;0;0;0;0;0;0
05/12/2022;FN_kgs-09771;Aichach-Friedberg;1;1;0;0;0;1;0;0;0
05/12/2022;FN_kgs-09773;Dillingen a.d.Donau;2;1;0;0;1;1;1;0;0
05/12/2022;FN_kgs-09774;Günzburg;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-09775;Neu-Ulm;3;1;1;0;0;1;0;0;0
05/12/2022;FN_kgs-09779;Donau-Ries;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-10042;Merzig-Wadern;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-10044;Saarlouis;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-10045;Saarpfalz-Kreis;9;2;0;0;1;1;1;0;0
05/12/2022;FN_kgs-11000;Berlin, Stadt;21;5;1;0;1;4;0;0;0
05/12/2022;FN_kgs-12060;Barnim;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-12061;Dahme-Spreewald;2;1;0;0;0;1;0;0;0
05/12/2022;FN_kgs-12064;Märkisch-Oderland;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-12066;Oberspreewald-Lausitz;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-12069;Potsdam-Mittelmark;1;1;0;0;0;0;1;0;0
05/12/2022;FN_kgs-12071;Spree-Neiße;2;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-12072;Teltow-Fläming;1;1;0;0;1;1;1;0;0
05/12/2022;FN_kgs-12073;Uckermark;1;1;0;0;1;0;0;0;0
05/12/2022;FN_kgs-13004;Schwerin;2;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-13058;Nordwestmecklenburg;2;1;0;0;1;1;1;0;0
05/12/2022;FN_kgs-13060;Parchim;1;1;0;0;0;1;0;0;0
05/12/2022;FN_kgs-14521;Erzgebirgskreis;2;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-14626;Görlitz;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-14627;Meißen;1;1;0;0;1;0;0;0;0
05/12/2022;FN_kgs-14628;Sächsische Schweiz-Osterzgebirge;2;1;0;0;0;0;1;0;0
05/12/2022;FN_kgs-14729;Leipzig;4;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-15003;Magdeburg, Landeshauptstadt;1;1;0;0;0;1;0;0;0
05/12/2022;FN_kgs-15081;Altmarkkreis Salzwedel;1;1;0;0;0;0;0;0;0
05/12/2022;FN_kgs-15088;Saalekreis;1;1;0;0;1;1;1;0;0
05/12/2022;FN_kgs-15090;Stendal;1;1;0;0;0;1;0;0;0
05/12/2022;FN_kgs-15091;Wittenberg;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-16051;Erfurt, Stadt;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-16052;Gera, Stadt;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-16061;Eichsfeld;3;2;1;0;0;2;0;0;0
05/12/2022;FN_kgs-16063;Wartburgkreis;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-16068;Sömmerda;1;1;0;0;0;1;0;0;0
05/12/2022;FN_kgs-16069;Hildburghausen;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-16076;Greiz;1;0;0;0;0;0;0;0;0
05/12/2022;FN_kgs-16077;Altenburger Land;2;1;0;0;1;0;0;0;0
05/12/2022;MF-;;1;0;0;0;0;0;0;0;0
05/12/2022;MF-O2-Telefonica;;248;97;28;2;31;61;26;5;0
05/12/2022;MF-Telekom;;130;59;20;1;19;38;20;5;0
05/12/2022;MF-Vodafone;;141;66;21;0;23;42;19;6;0
