Datum;anrufquelle;kreis;anz_anrufe;anrufe_m_sabio;Thema_test;Thema_reise;Thema_impf;Thema_quarantaene;Thema_bundesland;Thema_app;Thema_inzidenz
04/12/2022;FN_kgs-01002;Kiel, Landeshauptstadt;3;1;0;0;1;0;0;0;0
04/12/2022;FN_kgs-01055;Ostholstein;6;6;1;0;2;5;2;0;0
04/12/2022;FN_kgs-01058;Rendsburg-Eckernförde;1;1;1;0;1;1;1;0;0
04/12/2022;FN_kgs-01059;Schleswig-Flensburg;6;2;2;0;1;2;1;0;0
04/12/2022;FN_kgs-01060;Segeberg;1;1;0;0;1;1;0;0;0
04/12/2022;FN_kgs-01061;Steinburg;2;1;0;0;1;1;1;0;0
04/12/2022;FN_kgs-01062;Stormarn;5;3;1;0;3;2;2;0;0
04/12/2022;FN_kgs-02000;Hamburg, Freie und Hansestadt;27;14;3;0;4;8;6;0;0
04/12/2022;FN_kgs-03153;Goslar;2;1;0;0;0;1;0;0;0
04/12/2022;FN_kgs-03241;Region Hannover;5;3;1;0;0;3;0;0;0
04/12/2022;FN_kgs-03254;Hildesheim;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-03255;Holzminden;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-03256;Nienburg (Weser);1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-03351;Celle;3;2;1;0;1;2;1;0;0
04/12/2022;FN_kgs-03352;Cuxhaven;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-03353;Harburg;1;1;0;0;1;1;1;0;0
04/12/2022;FN_kgs-03355;Lüneburg;1;1;1;0;1;1;1;0;0
04/12/2022;FN_kgs-03357;Rotenburg (Wümme);1;1;0;0;0;1;0;0;0
04/12/2022;FN_kgs-03359;Stade;5;4;2;0;0;4;0;0;0
04/12/2022;FN_kgs-03360;Uelzen;2;1;0;0;0;1;1;0;0
04/12/2022;FN_kgs-03361;Verden;2;1;0;0;0;1;0;0;0
04/12/2022;FN_kgs-03451;Ammerland;1;1;1;0;0;1;0;0;0
04/12/2022;FN_kgs-03452;Aurich;2;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-03458;Oldenburg;1;1;0;0;0;1;0;0;0
04/12/2022;FN_kgs-03461;Wesermarsch;3;1;0;0;0;1;0;0;0
04/12/2022;FN_kgs-03462;Wittmund;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-04011;Bremen, Stadt;3;1;0;0;0;1;0;0;0
04/12/2022;FN_kgs-05117;Mülheim an der Ruhr, Stadt;1;1;0;0;1;0;1;0;0
04/12/2022;FN_kgs-05158;Mettmann;3;2;1;0;1;2;1;0;0
04/12/2022;FN_kgs-05166;Viersen;5;2;0;0;1;2;1;0;0
04/12/2022;FN_kgs-05170;Wesel;2;2;1;0;0;2;0;0;0
04/12/2022;FN_kgs-05313;Aachen, Stadt;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-05314;Bonn, Stadt;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-05358;Düren;1;1;0;0;0;1;0;0;0
04/12/2022;FN_kgs-05362;Rhein-Erft-Kreis;1;1;0;0;1;1;0;0;0
04/12/2022;FN_kgs-05366;Euskirchen;2;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-05370;Heinsberg;2;2;0;0;1;1;0;0;0
04/12/2022;FN_kgs-05378;Rheinisch-Bergischer Kreis;6;2;1;0;1;2;1;0;0
04/12/2022;FN_kgs-05382;Rhein-Sieg-Kreis;3;2;0;0;0;1;0;0;0
04/12/2022;FN_kgs-05512;Bottrop, Stadt;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-05515;Münster, Stadt;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-05562;Recklinghausen;3;3;0;0;1;2;0;0;0
04/12/2022;FN_kgs-05566;Steinfurt;2;1;0;0;0;1;0;0;0
04/12/2022;FN_kgs-05754;Gütersloh;2;1;0;0;0;1;0;0;0
04/12/2022;FN_kgs-05766;Lippe;2;1;0;0;0;1;0;0;0
04/12/2022;FN_kgs-05770;Minden-Lübbecke;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-05774;Paderborn;2;2;0;0;0;2;1;0;0
04/12/2022;FN_kgs-05916;Herne, Stadt;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-05958;Hochsauerlandkreis;1;1;0;0;0;0;0;0;0
04/12/2022;FN_kgs-05962;Märkischer Kreis;2;1;0;0;1;1;1;0;0
04/12/2022;FN_kgs-05970;Siegen-Wittgenstein;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-05978;Unna;2;1;0;0;0;1;0;0;0
04/12/2022;FN_kgs-06412;Frankfurt am Main, Stadt;8;4;2;0;3;3;2;0;0
04/12/2022;FN_kgs-06435;Main-Kinzig-Kreis;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-06438;Offenbach;2;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-06531;Gießen;1;1;0;0;0;1;0;0;0
04/12/2022;FN_kgs-06534;Marburg-Biedenkopf;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-06535;Vogelsbergkreis;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-06633;Kassel;2;1;1;0;0;1;0;0;0
04/12/2022;FN_kgs-07132;Altenkirchen (Westerwald);2;1;1;0;0;1;0;0;0
04/12/2022;FN_kgs-07133;Bad Kreuznach;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-07138;Neuwied;3;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-07315;Mainz, kreisfreie Stadt;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-08116;Esslingen;2;1;0;0;0;1;0;0;0
04/12/2022;FN_kgs-08119;Rems-Murr-Kreis;1;1;1;0;0;1;0;0;0
04/12/2022;FN_kgs-08125;Heilbronn;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-08215;Karlsruhe;3;1;0;0;0;0;0;0;0
04/12/2022;FN_kgs-08222;Mannheim;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-08226;Rhein-Neckar-Kreis;1;0;0;0;0;0;0;0;0
04/12/2022;FN_kgs-08236;Enzkreis;1;1;1;0;0;1;0;0;0
04/12/2022;FN_kgs-08315;Breisgau-Hochschwarzwald;3;3;0;0;0;3;0;0;0
04/12/2022;FN_kgs-08317;Ortenaukreis;1;0;0;0;0;0;0;0;0
