Datum;anrufquelle;kreis;anz_anrufe;anrufe_m_sabio;Thema_test;Thema_reise;Thema_impf;Thema_quarantaene;Thema_bundesland;Thema_app;Thema_inzidenz
10/12/2022;FN_kgs-;;1;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-01002;Kiel, Landeshauptstadt;1;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-01051;Dithmarschen;1;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-01055;Ostholstein;1;1;0;0;0;1;0;0;0
10/12/2022;FN_kgs-01056;Pinneberg;2;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-01057;Plön;2;2;0;0;0;1;0;0;0
10/12/2022;FN_kgs-01058;Rendsburg-Eckernförde;1;1;0;0;0;1;0;0;0
10/12/2022;FN_kgs-01059;Schleswig-Flensburg;3;2;1;0;0;2;1;1;0
10/12/2022;FN_kgs-01060;Segeberg;3;1;1;0;0;0;0;1;0
10/12/2022;FN_kgs-01061;Steinburg;4;3;0;0;1;2;1;0;0
10/12/2022;FN_kgs-02000;Hamburg, Freie und Hansestadt;36;17;3;0;3;13;2;1;0
10/12/2022;FN_kgs-03101;Braunschweig, Stadt;2;1;1;0;0;1;0;0;0
10/12/2022;FN_kgs-03151;Gifhorn;2;1;0;0;1;1;1;0;0
10/12/2022;FN_kgs-03152;Göttingen;1;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-03154;Helmstedt;4;1;0;0;0;1;0;0;0
10/12/2022;FN_kgs-03155;Northeim;3;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-03157;Peine;1;1;1;0;0;1;0;0;0
10/12/2022;FN_kgs-03241;Region Hannover;3;2;1;0;0;2;0;0;0
10/12/2022;FN_kgs-03252;Hameln-Pyrmont;1;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-03254;Hildesheim;6;4;1;0;2;4;2;0;0
10/12/2022;FN_kgs-03256;Nienburg (Weser);1;1;0;0;0;0;1;0;0
10/12/2022;FN_kgs-03257;Schaumburg;1;1;1;0;0;0;0;1;0
10/12/2022;FN_kgs-03351;Celle;1;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-03355;Lüneburg;4;2;1;0;1;2;1;0;0
10/12/2022;FN_kgs-03356;Osterholz;1;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-03357;Rotenburg (Wümme);1;1;0;0;1;1;1;0;0
10/12/2022;FN_kgs-03358;Soltau-Fallingbostel;3;1;0;0;0;1;0;0;0
10/12/2022;FN_kgs-03359;Stade;6;3;1;0;1;3;2;0;0
10/12/2022;FN_kgs-03360;Uelzen;6;3;3;0;0;2;0;0;0
10/12/2022;FN_kgs-03361;Verden;4;1;0;0;0;1;0;0;0
10/12/2022;FN_kgs-03405;Wilhelmshaven, Stadt;3;2;0;0;1;2;0;0;0
10/12/2022;FN_kgs-03451;Ammerland;4;3;1;0;2;2;1;1;0
10/12/2022;FN_kgs-03452;Aurich;1;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-03454;Emsland;1;1;0;0;0;1;0;0;0
10/12/2022;FN_kgs-03456;Grafschaft Bentheim;1;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-03457;Leer;4;3;1;0;1;2;1;0;0
10/12/2022;FN_kgs-03459;Osnabrück;1;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-03461;Wesermarsch;5;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-03462;Wittmund;1;1;0;0;0;1;0;0;0
10/12/2022;FN_kgs-04011;Bremen, Stadt;7;2;1;0;0;2;0;0;0
10/12/2022;FN_kgs-05117;Mülheim an der Ruhr, Stadt;2;1;0;0;1;1;1;0;0
10/12/2022;FN_kgs-05124;Wuppertal, Stadt;5;4;0;0;0;4;0;0;0
10/12/2022;FN_kgs-05154;Kleve;2;1;0;0;1;0;1;0;0
10/12/2022;FN_kgs-05158;Mettmann;11;3;0;0;1;2;1;1;0
10/12/2022;FN_kgs-05162;Rhein-Kreis Neuss;2;2;2;0;1;1;1;0;0
10/12/2022;FN_kgs-05166;Viersen;2;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-05170;Wesel;1;1;1;0;1;1;1;1;0
10/12/2022;FN_kgs-05358;Düren;1;1;1;0;0;1;0;0;0
10/12/2022;FN_kgs-05362;Rhein-Erft-Kreis;1;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-05366;Euskirchen;1;1;0;0;0;0;1;0;0
10/12/2022;FN_kgs-05370;Heinsberg;4;2;1;0;1;1;1;0;0
10/12/2022;FN_kgs-05378;Rheinisch-Bergischer Kreis;11;5;1;0;2;5;2;0;0
10/12/2022;FN_kgs-05382;Rhein-Sieg-Kreis;5;3;1;0;1;2;0;1;0
10/12/2022;FN_kgs-05512;Bottrop, Stadt;6;3;1;0;2;3;2;0;0
10/12/2022;FN_kgs-05515;Münster, Stadt;1;1;0;0;0;1;0;0;0
10/12/2022;FN_kgs-05554;Borken;2;2;0;0;1;1;1;0;0
10/12/2022;FN_kgs-05562;Recklinghausen;1;1;1;0;0;1;0;0;0
10/12/2022;FN_kgs-05566;Steinfurt;2;1;0;0;1;0;0;0;0
10/12/2022;FN_kgs-05711;Bielefeld, Stadt;3;3;1;0;1;2;1;0;0
10/12/2022;FN_kgs-05754;Gütersloh;2;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-05766;Lippe;3;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-05770;Minden-Lübbecke;3;2;0;0;0;2;0;0;0
10/12/2022;FN_kgs-05916;Herne, Stadt;8;1;1;0;0;1;0;0;0
10/12/2022;FN_kgs-05954;Ennepe-Ruhr-Kreis;3;2;0;0;0;2;1;0;0
10/12/2022;FN_kgs-05958;Hochsauerlandkreis;4;1;0;0;1;1;1;0;0
10/12/2022;FN_kgs-05962;Märkischer Kreis;3;2;0;0;0;2;0;0;0
10/12/2022;FN_kgs-05966;Olpe;1;1;1;0;1;1;1;1;0
10/12/2022;FN_kgs-05974;Soest;2;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-05978;Unna;9;5;0;0;1;5;1;0;0
10/12/2022;FN_kgs-06412;Frankfurt am Main, Stadt;3;2;0;0;0;2;0;0;0
10/12/2022;FN_kgs-06432;Darmstadt-Dieburg;2;0;0;0;0;0;0;0;0
10/12/2022;FN_kgs-06433;Groß-Gerau;5;4;0;0;2;2;1;0;0
